chapter,article,article_title,,,,,authority,,,,,,,,Detected(V/C)
1,1,Subject-matter and objectives,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,1
1,1,Subject-matter and objectives,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
1,1,Subject-matter and objectives,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
1,2,Material scope,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
1,2,Material scope,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
1,2,Material scope,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
1,2,Material scope,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
1,3,Territorial scope,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
1,3,Territorial scope,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
1,3,Territorial scope,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
1,3,Territorial scope,,,,,Data Protection Authority of Berlin,,,,,,,,1
1,4,Definitions,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
1,4,Definitions,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,1
1,4,Definitions,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
1,4,Definitions,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
1,4,Definitions,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
1,4,Definitions,,,,,Data State Inspectorate (DSI),,,,,,,,1
2,5,Principles relating to processing of personal data,,,,,Data Protection Authority of Sweden,,,,,,,,1
2,5,Principles relating to processing of personal data,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
2,6,Lawfulness of processing,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
2,6,Lawfulness of processing,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
2,6,Lawfulness of processing,,,,,French Data Protection Authority (CNIL),,,,,,,,1
2,6,Lawfulness of processing,,,,,Information Commissioner (ICO),,,,,,,,1
2,6,Lawfulness of processing,,,,,Information Commissioner (ICO),,,,,,,,1
2,6,Lawfulness of processing,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
2,6,Lawfulness of processing,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
2,7,Conditions for consent,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
2,7,Conditions for consent,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
2,7,Conditions for consent,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,1
2,7,Conditions for consent,,,,,French Data Protection Authority (CNIL),,,,,,,,1
2,8,Conditions applicable to child's consent in relation to information society services,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
2,8,Conditions applicable to child's consent in relation to information society services,,,,,Danish Data Protection Authority (Datatilsynet),,,,,,,,1
2,8,Conditions applicable to child's consent in relation to information society services,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
2,9,Processing of special categories of personal data,,,,,French Data Protection Authority (CNIL),,,,,,,,1
2,9,Processing of special categories of personal data,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
2,9,Processing of special categories of personal data,,,,,Lithuanian Data Protection Authority (VDAI),,,,,,,,1
2,9,Processing of special categories of personal data,,,,,Czech Data Protection Authority (UOOU),,,,,,,,0
